pitcher_id,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Last Name,First Name,pitcher
663556,Shane McClanahan,25,SP,4.2,12,8,0.6,2.54,28,28,0,0,0,0,166.1,116,52,47,19,38,1,194,3,0,9,641,144,3,0.926,6.3,1,2.1,10.5,5.11,"AS,CYA-6",McClanahan,Shane,663556
446372,Corey Kluber,36,SP,0.8,10,10,0.5,4.34,31,31,0,0,0,0,164,178,82,79,20,21,0,139,10,0,2,689,84,3.57,1.213,9.8,1.1,1.2,7.6,6.62,,Kluber,Corey,446372
656876,Drew Rasmussen,26,SP,3.1,11,7,0.611,2.84,28,28,0,0,0,0,146,121,51,46,13,31,0,125,3,0,10,584,129,3.26,1.041,7.5,0.8,1.9,7.7,4.03,,Rasmussen,Drew,656876
605488,Jeffrey Springs,29,SP,3.8,9,5,0.643,2.46,33,25,0,0,0,0,135.1,114,42,37,14,31,0,144,1,1,1,549,149,3.04,1.071,7.6,0.9,2.1,9.6,4.65,,Springs,Jeffrey,605488
642232,Ryan Yarbrough,30,RP,0,3,8,0.273,4.5,20,9,2,0,0,0,80,88,44,40,12,22,0,61,11,0,3,355,82,4.77,1.375,9.9,1.4,2.5,6.9,2.77,,Yarbrough,Ryan,642232
592094,Jason Adam,30,RP,2.7,2,3,0.4,1.56,67,0,16,0,0,8,63.1,31,12,11,5,17,2,75,6,0,2,237,235,2.86,0.758,4.4,0.7,2.4,10.7,4.41,,Adam,Jason,592094
656222,Jalen Beeks,28,RP,1.2,2,3,0.4,2.8,42,7,8,0,0,2,61,49,22,19,7,22,0,70,2,0,3,250,131,3.49,1.164,7.2,1,3.2,10.3,3.18,,Beeks,Jalen,656222
621363,Colin Poche,28,RP,-0.1,4,2,0.667,3.99,65,0,13,0,0,7,58.2,46,30,26,11,22,0,64,1,0,4,245,92,4.54,1.159,7.1,1.7,3.4,9.8,2.91,,Poche,Colin,621363
542888,Shawn Armstrong,31,RP,0.6,2,3,0.4,3.6,43,3,18,0,0,2,55,56,22,22,6,14,2,61,4,0,2,235,102,3.29,1.273,9.2,1,2.3,10,4.36,,Armstrong,Shawn,542888
548384,Brooks Raley,34,RP,1,1,2,0.333,2.68,60,0,12,0,0,6,53.2,37,19,16,3,15,0,61,6,0,3,219,137,2.74,0.969,6.2,0.5,2.5,10.2,4.07,,Raley,Brooks,548384
